city,location,category,crime_count
CHICAGO,Englewood,MAJOR THEFT,6608
CHICAGO,Englewood,SHOOTING,6197
CHICAGO,Grand Crossing,FRAUD,5791
CHICAGO,Harrison,MAJOR THEFT,9168
CHICAGO,Jefferson Park,HOMICIDE,62
CHICAGO,Morgan Park,FRAUD,6813
CHICAGO,Morgan Park,MAJOR THEFT,3185
CHICAGO,Morgan Park,OTHER,23071
CHICAGO,Near North,SHOOTING,1034
CHICAGO,Near West,KIDNAPPING,40
CHICAGO,South Chicago,HOMICIDE,457
CHICAGO,South Chicago,THEFT,43487
CHICAGO,Wentworth,ASSAULT,34045
LA,77th Street,FRAUD,809
LA,77th Street,MAJOR THEFT,27657
LA,Central,FRAUD,928
LA,Central,THEFT,56457
LA,Foothill,TRAFFIC,22
LA,Harbor,MAJOR THEFT,14938
LA,Hollenbeck,DRUGS,8
LA,Hollywood,THEFT,57099
LA,Hollywood,TRAFFIC,29
LA,Mission,LYNCHING,239
LA,N Hollywood,SEXUAL OFFENCES,1712
LA,Northeast,TRAFFIC,17
LA,Olympic,FRAUD,1318
LA,Olympic,KIDNAPPING,307
LA,Olympic,SEXUAL OFFENCES,2054
LA,Pacific,KIDNAPPING,205
LA,Rampart,THEFT,43540
LA,Southeast,ASSAULT,25134
LA,Southeast,TRAFFIC,15
LA,Topanga,LYNCHING,121
LA,West Valley,HOMICIDE,75
NYC,BRONX,SEXUAL OFFENCES,15044
NYC,STATEN ISLAND,MAJOR THEFT,4977
NYC,STATEN ISLAND,OTHER,98525
NYC,STATEN ISLAND,SEXUAL OFFENCES,2491
CHICAGO,Central,OTHER,20332
CHICAGO,Chicago Lawn,FRAUD,11134
CHICAGO,Englewood,SEXUAL OFFENCES,1330
CHICAGO,Grand Central,HUMAN TRAFFICKING,3
CHICAGO,Harrison,OTHER,39491
CHICAGO,Jefferson Park,SEXUAL OFFENCES,892
CHICAGO,Near North,HUMAN TRAFFICKING,4
CHICAGO,Near North,OTHER,19735
CHICAGO,Near West,FRAUD,8711
CHICAGO,Near West,SHOOTING,1341
CHICAGO,Rogers Park,FRAUD,5849
CHICAGO,Rogers Park,HUMAN TRAFFICKING,1
CHICAGO,Rogers Park,KIDNAPPING,37
CHICAGO,Rogers Park,SEXUAL OFFENCES,1032
CHICAGO,Shakespeare,LYNCHING,156
CHICAGO,South Chicago,MAJOR THEFT,6015
CHICAGO,South Chicago,SEXUAL OFFENCES,1393
CHICAGO,Wentworth,SHOOTING,2076
LA,77th Street,DRUGS,1
LA,Central,HOMICIDE,159
LA,Central,TERRORISM,202
LA,Central,TRAFFIC,18
LA,Devonshire,ASSAULT,12880
LA,Devonshire,HOMICIDE,52
LA,Foothill,LYNCHING,192
LA,Harbor,SEXUAL OFFENCES,1485
LA,Hollenbeck,OTHER,6036
LA,Mission,TRAFFIC,21
LA,N Hollywood,SHOOTING,7786
LA,N Hollywood,TERRORISM,38
LA,Northeast,DRUGS,9
LA,Northeast,TERRORISM,58
LA,Northeast,THEFT,58777
LA,Olympic,THEFT,52019
LA,Pacific,HOMICIDE,66
LA,Pacific,TRAFFIC,18
LA,Rampart,LYNCHING,214
LA,Southeast,HOMICIDE,431
LA,Southeast,LYNCHING,382
LA,Southwest,HOMICIDE,241
LA,Southwest,OTHER,8692
LA,Topanga,KIDNAPPING,277
LA,Topanga,SHOOTING,6138
LA,Van Nuys,SHOOTING,6650
LA,Van Nuys,THEFT,58582
LA,West Valley,OTHER,6835
LA,West Valley,TERRORISM,31
LA,Wilshire,TRAFFIC,11
NYC,MANHATTAN,CRIME AGAINST CHILDREN,54
NYC,MANHATTAN,FRAUD,27081
NYC,MANHATTAN,TRAFFIC,9391
NYC,QUEENS,FRAUD,16645
NYC,QUEENS,LYNCHING,1615
CHICAGO,Austin,MAJOR THEFT,5412
CHICAGO,Calumet,MAJOR THEFT,4437
CHICAGO,Central,FRAUD,16436
CHICAGO,Central,HUMAN TRAFFICKING,5
CHICAGO,Chicago Lawn,MAJOR THEFT,7016
CHICAGO,Deering,HOMICIDE,427
CHICAGO,Grand Crossing,KIDNAPPING,99
CHICAGO,Gresham,FRAUD,8527
CHICAGO,Gresham,HUMAN TRAFFICKING,13
CHICAGO,Gresham,LYNCHING,279
CHICAGO,Gresham,THEFT,47907
CHICAGO,Harrison,FRAUD,6008
CHICAGO,Harrison,SEXUAL OFFENCES,1427
CHICAGO,Jefferson Park,HUMAN TRAFFICKING,5
CHICAGO,Jefferson Park,KIDNAPPING,122
CHICAGO,Morgan Park,LYNCHING,130
CHICAGO,Morgan Park,SEXUAL OFFENCES,728
CHICAGO,Near North,LYNCHING,63
CHICAGO,Near West,DRUGS,4942
CHICAGO,Ogden,SEXUAL OFFENCES,1330
CHICAGO,Rogers Park,HOMICIDE,108
CHICAGO,Shakespeare,SEXUAL OFFENCES,890
CHICAGO,Shakespeare,THEFT,45389
CHICAGO,Town Hall,HUMAN TRAFFICKING,1
CHICAGO,Wentworth,DRUGS,5435
LA,77th Street,TRAFFIC,36
LA,Harbor,TRAFFIC,24
LA,Hollenbeck,SEXUAL OFFENCES,1456
LA,Hollywood,OTHER,5700
LA,Hollywood,TERRORISM,103
LA,Mission,ASSAULT,18088
LA,N Hollywood,OTHER,7651
LA,Newton,OTHER,5833
LA,Olympic,OTHER,5863
LA,Pacific,LYNCHING,203
LA,Rampart,SEXUAL OFFENCES,2075
LA,Topanga,ASSAULT,13878
LA,West LA,HOMICIDE,25
LA,West LA,OTHER,5497
LA,West LA,SEXUAL OFFENCES,1411
NYC,BRONX,CRIME AGAINST CHILDREN,262
NYC,BRONX,FRAUD,16731
NYC,BRONX,HOMICIDE,42
NYC,BROOKLYN,LYNCHING,2746
NYC,BROOKLYN,MAJOR THEFT,60168
NYC,QUEENS,HOMICIDE,32
NYC,QUEENS,OTHER,364662
CHICAGO,Calumet,DRUGS,7695
CHICAGO,Calumet,SEXUAL OFFENCES,1037
CHICAGO,Calumet,SHOOTING,4774
CHICAGO,Central,KIDNAPPING,39
CHICAGO,Deering,DRUGS,7896
CHICAGO,Englewood,FRAUD,5158
CHICAGO,Gresham,OTHER,39643
CHICAGO,Harrison,DRUGS,45503
CHICAGO,Near North,THEFT,70013
CHICAGO,Near West,ASSAULT,30317
CHICAGO,Near West,OTHER,28635
CHICAGO,Near West,THEFT,58598
CHICAGO,Ogden,LYNCHING,310
CHICAGO,Ogden,MAJOR THEFT,5670
CHICAGO,Ogden,SHOOTING,4429
CHICAGO,South Chicago,LYNCHING,327
CHICAGO,Wentworth,SEXUAL OFFENCES,1100
LA,77th Street,HOMICIDE,539
LA,77th Street,SHOOTING,22049
LA,77th Street,TERRORISM,26
LA,Foothill,SEXUAL OFFENCES,1608
LA,Foothill,THEFT,42322
LA,Harbor,OTHER,6873
LA,Hollenbeck,HOMICIDE,230
LA,Hollywood,ASSAULT,18323
LA,N Hollywood,LYNCHING,215
LA,Newton,FRAUD,560
LA,Newton,KIDNAPPING,302
LA,Pacific,FRAUD,1639
LA,Pacific,MAJOR THEFT,19341
LA,Pacific,OTHER,6435
LA,Southeast,DRUGS,4
LA,Southwest,SEXUAL OFFENCES,2574
LA,Southwest,TERRORISM,40
LA,Van Nuys,ASSAULT,15843
LA,Van Nuys,OTHER,7003
LA,Van Nuys,SEXUAL OFFENCES,1621
LA,West Valley,TRAFFIC,49
LA,Wilshire,KIDNAPPING,229
LA,Wilshire,THEFT,56869
NYC,MANHATTAN,DRUGS,53911
NYC,MANHATTAN,THEFT,480442
NYC,QUEENS,THEFT,315903
NYC,QUEENS,TRAFFIC,13214
CHICAGO,Austin,KIDNAPPING,73
CHICAGO,Austin,OTHER,24527
CHICAGO,Austin,SHOOTING,2994
CHICAGO,Austin,THEFT,23804
CHICAGO,Calumet,FRAUD,4887
CHICAGO,Chicago Lawn,OTHER,45277
CHICAGO,Chicago Lawn,SEXUAL OFFENCES,1710
CHICAGO,Englewood,HOMICIDE,602
CHICAGO,Englewood,KIDNAPPING,130
CHICAGO,Grand Crossing,ASSAULT,44069
CHICAGO,Grand Crossing,THEFT,36848
CHICAGO,Lincoln,SHOOTING,283
CHICAGO,Near North,FRAUD,16662
CHICAGO,Ogden,HUMAN TRAFFICKING,1
CHICAGO,Ogden,THEFT,29657
CHICAGO,Rogers Park,DRUGS,2954
CHICAGO,South Chicago,ASSAULT,50111
CHICAGO,Town Hall,KIDNAPPING,42
CHICAGO,Town Hall,LYNCHING,126
CHICAGO,Town Hall,MAJOR THEFT,4408
LA,Central,MAJOR THEFT,20402
LA,Foothill,MAJOR THEFT,11570
LA,Mission,MAJOR THEFT,15147
LA,N Hollywood,KIDNAPPING,306
LA,Newton,HOMICIDE,271
LA,Newton,SEXUAL OFFENCES,1692
LA,Northeast,KIDNAPPING,240
LA,Pacific,SHOOTING,7352
LA,Rampart,ASSAULT,19726
LA,Southwest,ASSAULT,25515
LA,Southwest,LYNCHING,295
LA,Topanga,TERRORISM,48
LA,West LA,KIDNAPPING,296
LA,West LA,MAJOR THEFT,13117
LA,Wilshire,ASSAULT,12938
LA,Wilshire,HOMICIDE,78
LA,Wilshire,LYNCHING,163
NYC,QUEENS,MAJOR THEFT,38345
CHICAGO,Albany Park,SHOOTING,774
CHICAGO,Albany Park,THEFT,31681
CHICAGO,Austin,LYNCHING,271
CHICAGO,Austin,SEXUAL OFFENCES,1026
CHICAGO,Calumet,ASSAULT,39131
CHICAGO,Central,MAJOR THEFT,4159
CHICAGO,Englewood,ASSAULT,51135
CHICAGO,Grand Central,DRUGS,10169
CHICAGO,Grand Central,OTHER,36745
CHICAGO,Grand Crossing,LYNCHING,188
CHICAGO,Gresham,KIDNAPPING,126
CHICAGO,Jefferson Park,FRAUD,9383
CHICAGO,Lincoln,KIDNAPPING,30
CHICAGO,Morgan Park,ASSAULT,23408
CHICAGO,Near North,ASSAULT,21916
CHICAGO,Shakespeare,DRUGS,2640
CHICAGO,South Chicago,KIDNAPPING,154
CHICAGO,South Chicago,OTHER,41014
CHICAGO,Wentworth,HOMICIDE,281
CHICAGO,Wentworth,KIDNAPPING,72
LA,Central,OTHER,5030
LA,Devonshire,FRAUD,1597
LA,Devonshire,SHOOTING,5564
LA,Harbor,HOMICIDE,175
LA,Harbor,TERRORISM,35
LA,Hollywood,KIDNAPPING,294
LA,Newton,ASSAULT,20396
LA,Olympic,MAJOR THEFT,17608
LA,Rampart,DRUGS,4
LA,Rampart,HOMICIDE,173
LA,Southeast,FRAUD,574
LA,Van Nuys,LYNCHING,181
LA,West Valley,MAJOR THEFT,12931
LA,Wilshire,SEXUAL OFFENCES,1704
NYC,BRONX,DRUGS,72428
NYC,BRONX,LYNCHING,2634
NYC,BRONX,MAJOR THEFT,46611
NYC,MANHATTAN,ASSAULT,141707
NYC,MANHATTAN,SEXUAL OFFENCES,18673
NYC,STATEN ISLAND,LYNCHING,439
CHICAGO,Albany Park,FRAUD,5288
CHICAGO,Albany Park,LYNCHING,143
CHICAGO,Austin,HOMICIDE,460
CHICAGO,Calumet,THEFT,31286
CHICAGO,Central,HOMICIDE,67
CHICAGO,Central,LYNCHING,61
CHICAGO,Central,THEFT,66876
CHICAGO,Chicago Lawn,SHOOTING,3411
CHICAGO,Deering,ASSAULT,36051
CHICAGO,Deering,MAJOR THEFT,5379
CHICAGO,Englewood,LYNCHING,401
CHICAGO,Englewood,OTHER,36083
CHICAGO,Grand Central,THEFT,47130
CHICAGO,Grand Crossing,HUMAN TRAFFICKING,8
CHICAGO,Grand Crossing,OTHER,34464
CHICAGO,Gresham,ASSAULT,52676
CHICAGO,Gresham,DRUGS,10551
CHICAGO,Gresham,SEXUAL OFFENCES,1383
CHICAGO,Gresham,SHOOTING,5380
CHICAGO,Harrison,THEFT,34839
CHICAGO,Jefferson Park,DRUGS,3698
CHICAGO,Jefferson Park,OTHER,26113
CHICAGO,Lincoln,SEXUAL OFFENCES,669
CHICAGO,Morgan Park,HUMAN TRAFFICKING,2
CHICAGO,Morgan Park,SHOOTING,1855
CHICAGO,Rogers Park,LYNCHING,80
CHICAGO,Rogers Park,MAJOR THEFT,2997
CHICAGO,Rogers Park,THEFT,29229
CHICAGO,Shakespeare,KIDNAPPING,45
CHICAGO,Wentworth,MAJOR THEFT,5717
LA,77th Street,OTHER,9595
LA,Central,ASSAULT,24776
LA,Central,KIDNAPPING,249
LA,Central,SEXUAL OFFENCES,2832
LA,Devonshire,TRAFFIC,19
LA,Foothill,HOMICIDE,111
LA,Foothill,TERRORISM,34
LA,Harbor,DRUGS,1
LA,Hollenbeck,FRAUD,533
LA,Hollenbeck,TERRORISM,25
LA,Hollywood,HOMICIDE,76
LA,Mission,DRUGS,4
LA,Mission,OTHER,8285
LA,Mission,THEFT,52919
LA,N Hollywood,FRAUD,1619
LA,N Hollywood,MAJOR THEFT,16773
LA,Olympic,ASSAULT,20262
LA,Olympic,HOMICIDE,113
LA,Pacific,ASSAULT,13819
LA,Pacific,SEXUAL OFFENCES,1717
LA,Southeast,TERRORISM,25
LA,Southwest,FRAUD,1167
LA,Southwest,KIDNAPPING,377
LA,Topanga,HOMICIDE,54
LA,Topanga,MAJOR THEFT,12569
LA,Topanga,OTHER,7133
LA,Van Nuys,KIDNAPPING,302
LA,Van Nuys,TRAFFIC,14
LA,West Valley,FRAUD,1413
NYC,BRONX,ASSAULT,191624
NYC,QUEENS,ASSAULT,146891
NYC,QUEENS,CRIME AGAINST CHILDREN,404
NYC,QUEENS,DRUGS,15488
NYC,QUEENS,KIDNAPPING,302
